Year,Decimal Day of Year,Month,Day,Time,Date
1917,120.4792,April,30,11:30,4/30/1917
1918,131.3979,May,11,9:33,5/11/1918
1919,123.6063,May,3,14:33,5/3/1919
1920,132.4486,May,11,10:46,5/11/1920
1921,131.2792,May,11,6:42,5/11/1921
1922,132.5556,May,12,13:20,5/12/1922
1923,129.0833,May,9,2:00,5/9/1923
1924,132.6319,May,11,15:10,5/11/1924
1925,127.7722,May,7,18:32,5/7/1925
1926,116.6688,April,26,16:03,4/26/1926
1927,133.2375,May,13,5:42,5/13/1927
1928,127.684,May,6,16:25,5/6/1928
1929,125.6535,May,5,15:41,5/5/1929
1930,128.7938,May,8,19:03,5/8/1930
1931,130.391,May,10,9:23,5/10/1931
1932,122.4271,May,1,10:15,5/1/1932
1933,128.8125,May,8,19:30,5/8/1933
1934,120.5882,April,30,14:07,4/30/1934
1935,135.5639,May,15,13:32,5/15/1935
1936,121.5403,April,30,12:58,4/30/1936
1937,132.8361,May,12,20:04,5/12/1937
1938,126.8431,May,6,20:14,5/6/1938
1939,119.5597,April,29,13:26,4/29/1939
1940,111.6438,April,20,15:27,4/20/1940
1941,123.0764,May,3,1:50,5/3/1941
1942,120.5611,April,30,13:28,4/30/1942
1943,118.8069,April,28,19:22,4/28/1943
1944,125.5889,May,4,14:08,5/4/1944
1945,136.4035,May,16,9:41,5/16/1945
1946,125.6944,May,5,16:40,5/5/1946
1947,123.7451,May,3,17:53,5/3/1947
1948,134.4674,May,13,11:13,5/13/1948
1949,134.5271,May,14,12:39,5/14/1949
1950,126.6764,May,6,16:14,5/6/1950
1951,120.7458,April,30,17:54,4/30/1951
1952,133.7111,May,12,17:04,5/12/1952
1953,119.6625,April,29,15:54,4/29/1953
1954,126.7507,May,6,18:01,5/6/1954
1955,129.5924,May,9,14:13,5/9/1955
1956,122.975,May,1,23:24,5/1/1956
1957,125.3958,May,5,9:30,5/5/1957
1958,119.6222,April,29,14:56,4/29/1958
1959,128.4764,May,8,11:26,5/8/1959
1960,123.8,May,2,19:12,5/2/1960
1961,125.4799,May,5,11:31,5/5/1961
1962,132.9743,May,12,23:23,5/12/1962
1963,125.7674,May,5,18:25,5/5/1963
1964,141.4868,May,20,11:41,5/20/1964
1965,127.7924,May,7,19:01,5/7/1965
1966,128.5076,May,8,12:11,5/8/1966
1967,124.4965,May,4,11:55,5/4/1967
1968,129.3931,May,8,9:26,5/8/1968
1969,118.5194,April,28,12:28,4/28/1969
1970,124.4424,May,4,10:37,5/4/1970
1971,128.8965,May,8,21:31,5/8/1971
1972,131.4972,May,10,11:56,5/10/1972
1973,124.4993,May,4,11:59,5/4/1973
1974,126.6556,May,6,15:44,5/6/1974
1975,130.5757,May,10,13:49,5/10/1975
1976,123.4521,May,2,10:51,5/2/1976
1977,126.5319,May,6,12:46,5/6/1977
1978,120.6375,April,30,15:18,4/30/1978
1979,120.7611,April,30,18:16,4/30/1979
1980,120.5528,April,29,13:16,4/29/1980
1981,120.7806,April,30,18:44,4/30/1981
1982,130.7333,May,10,17:36,5/10/1982
1983,119.7757,April,29,18:37,4/29/1983
1984,130.6479,May,9,15:33,5/9/1984
1985,131.6083,May,11,14:36,5/11/1985
1986,128.9514,May,8,22:50,5/8/1986
1987,125.6326,May,5,15:11,5/5/1987
1988,118.3854,April,27,9:15,4/27/1988
1989,121.8431,May,1,20:14,5/1/1989
1990,114.7215,April,24,17:19,4/24/1990
1991,121.0028,May,1,12:04,5/1/1991
1992,135.2681,May,14,6:26,5/14/1992
1993,113.5424,April,23,13:01,4/23/1993
1994,119.959,April,29,23:01,4/29/1994
1995,116.5569,April,26,13:22,4/26/1995
1996,126.5222,May,5,12:32,5/5/1996
1997,120.4361,April,30,10:28,4/30/1997
1998,110.7042,April,20,16:54,4/20/1998
1999,119.9076,April,29,21:47,4/29/1999
2000,122.4493,May,1,10:47,5/1/2000
2001,128.5417,May,8,13:00,5/8/2001
2002,127.8938,May,7,21:27,5/7/2002
2003,119.7653,April,29,18:22,4/29/2003
2004,115.5944,April,24,14:16,4/24/2004
2005,118.5007,April,28,12:01,4/28/2005
2006,122.7285,May,2,17:29,5/2/2006
2007,117.6576,April,27,15:47,4/27/2007
2008,127.9535,May,6,22:53,5/6/2008
2009,121.8618,May,1,20:41,5/1/2009
2010,119.3792,April,29,9:06,4/29/2010
2011,124.6833,May,4,16:24,5/4/2011
2012,114.8188,April,23,19:39,4/23/2012
2013,140.6118,May,20,14:41,5/20/2013
2014,115.6583,April,25,15:48,4/25/2014
2015,114.6007,April,24,14:25,4/24/2015
2016,114.6521,April,23,15:39,4/23/2016
2017,121.5,May,1,12:00,5/1/2017
2018,121.5542,May,1,13:18,5/1/2018
2019,104.0146,April,14,0:21,4/14/2019
2020,118.5389,April,27,12:56,4/27/2020
2021,120.5347,April,30,12:50,4/30/2021
